,Player,Nationality,Position,Club Team,League,Age,Matches Played,Goals,Assists,Expected Goals
104,Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,eng Premier League,20,21,0,2,1.5
105,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,30,38,5,6,4.4
106,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32,30,4,0,2.6
107,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28,7,0,0,0.1
108,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,28,28,4,2,1.7
109,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25,19,1,0,0.8
110,Angeliño,es ESP,DF,Roma,it Serie A,26,16,0,1,0.2
111,Ângelo,br BRA,"FW,MF",Strasbourg,fr Ligue 1,18,21,0,3,0.4
112,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,es La Liga,29,11,0,0,0.0
113,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,23,3,0,0,0.1
114,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27,33,0,3,1.7
115,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33,26,6,2,5.8
116,Antony,br BRA,FW,Manchester Utd,eng Premier League,23,29,1,1,3.4
117,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29,25,2,2,2.2
118,Houssem Aouar,dz ALG,"MF,FW",Roma,it Serie A,25,16,4,0,2.3
119,Stredair Appuah,fr FRA,"FW,MF",Nantes,fr Ligue 1,19,4,0,0,0.4
120,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27,7,0,0,0.5
121,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21,11,0,0,0.1
122,Asaf Arania,il ISR,MF,Darmstadt 98,de Bundesliga,17,1,0,0,0.0
123,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,21,25,1,0,0.7
124,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24,25,1,2,2.1
125,Oliver Arblaster,eng ENG,MF,Sheffield Utd,eng Premier League,19,12,0,0,0.0
126,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,22,29,4,1,5.5
127,Cameron Archer,eng ENG,MF,Aston Villa,eng Premier League,22,1,0,0,0.0
128,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,31,0,0,0.0
129,Adu Ares,es ESP,FW,Athletic Club,es La Liga,21,12,0,0,0.1
130,Jesús Areso,es ESP,DF,Osasuna,es La Liga,24,37,1,6,0.2
131,Simone Aresti,it ITA,GK,Cagliari,it Serie A,37,1,0,0,0.0
132,Matias Arezo,uy URU,FW,Granada,es La Liga,20,14,0,0,1.2
133,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,18,1,0,0,0.0
134,Yoël Armougom,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,25,5,0,0,0.0
135,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28,26,2,1,1.7
136,Hákon Arnar Haraldsson,is ISL,"FW,MF",Lille,fr Ligue 1,20,26,2,0,0.8
137,Marko Arnautović,at AUT,FW,Inter,it Serie A,34,27,5,3,5.0
138,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29,30,2,1,1.0
139,Mohamed El Arouch,fr FRA,FW,Lyon,fr Ligue 1,19,1,0,0,0.0
140,Sergio Arribas,es ESP,"MF,FW",Almería,es La Liga,21,34,9,4,8.6
141,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,14,0,0,0.0
142,Arthur,br BRA,DF,Leverkusen,de Bundesliga,20,4,0,2,0.1
143,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,28,29,6,1,7.9
144,Marco Asensio,es ESP,"MF,FW",Paris S-G,fr Ligue 1,27,19,4,5,3.2
145,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21,23,1,2,0.6
146,Joel Asoro,se SWE,"FW,MF",Metz,fr Ligue 1,24,20,2,1,0.6
147,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,de Bundesliga,17,1,0,0,0.0
148,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35,35,9,10,11.5
149,Lorenz Assignon,tg TOG,DF,Burnley,eng Premier League,23,15,1,2,0.4
150,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23,14,1,1,0.4
151,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,27,6,1,0,0.1
152,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17,15,0,0,0.5
153,Arthur Atta,fr FRA,"MF,FW",Metz,fr Ligue 1,20,21,1,2,0.6
154,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21,34,0,0,0.0
155,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,34,34,17,8,20.5
156,Emil Audero,it ITA,GK,Inter,it Serie A,26,4,0,0,0.0
157,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,28,32,1,1,0.5
158,Carlos Augusto,br BRA,DF,Inter,it Serie A,24,37,0,3,1.0
159,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,22,16,2,0,0.9
160,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,eng Premier League,30,12,0,2,0.2
161,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,29,17,1,3,2.0
162,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,29,6,1,0,0.7
163,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25,20,6,3,4.7
164,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,33,19,5,0,3.1
165,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,31,35,4,7,3.9
166,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,22,25,1,2,2.4
167,Sardar Azmoun,ir IRN,"FW,MF",Roma,it Serie A,28,23,3,0,2.9
168,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,33,25,0,2,0.6
169,Paulo Azzi,br BRA,"DF,MF",Cagliari,it Serie A,29,25,0,0,1.2
170,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,22,18,2,2,0.5
171,Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,18,1,0,0,0.0
172,Iddrisu Baba,gh GHA,MF,Almería,es La Liga,27,25,0,0,0.7
173,Srđan Babić,rs SRB,DF,Almería,es La Liga,27,1,0,0,0.0
174,Shavy Babicka,ga GAB,"FW,MF",Toulouse,fr Ligue 1,23,12,1,0,0.6
175,Aliou Badara Baldé,gn GUI,"FW,DF",Nice,fr Ligue 1,20,7,0,0,0.1
176,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,23,28,0,1,0.9
177,Milan Badelj,hr CRO,MF,Genoa,it Serie A,34,33,1,3,1.4
178,Matthias Bader,de GER,"DF,MF",Darmstadt 98,de Bundesliga,26,24,1,2,0.7
179,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,22,18,0,1,0.3
180,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,22,34,2,14,7.9
181,Jaime Báez,uy URU,"FW,MF",Frosinone,it Serie A,28,11,1,0,0.5
182,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,19,1,0,0,0.0
183,Leon Bailey,jm JAM,"MF,FW",Aston Villa,eng Premier League,25,35,10,9,6.3
184,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,29,10,0,0,0.2
185,Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,18,1,0,0,0.0
186,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,it Serie A,24,28,2,2,2.5
187,Cédric Bakambu,cd COD,FW,Betis,es La Liga,32,4,0,0,0.4
188,Tiemoué Bakayoko,fr FRA,MF,Lorient,fr Ligue 1,28,20,2,1,1.7
189,Mitchel Bakker,nl NED,DF,Atalanta,it Serie A,23,14,1,0,0.2
190,Ridle Baku,de GER,"DF,MF",Wolfsburg,de Bundesliga,25,33,1,0,1.8
191,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,20,31,3,6,3.2
192,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,20,14,2,0,2.1
193,Tommaso Baldanzi,it ITA,"FW,MF",Roma,it Serie A,20,13,0,0,0.9
194,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,19,18,0,1,0.1
195,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,30,13,0,1,0.0
196,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,19,27,0,0,0.8
197,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,19,2,0,0,0.0
198,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,24,27,2,0,0.9
199,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,31,33,0,1,0.7
200,Fodé Ballo-Touré,sn SEN,"DF,MF",Fulham,eng Premier League,26,6,0,0,0.0
201,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,22,29,7,5,11.0
202,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,es La Liga,27,27,3,2,3.0
203,Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,21,16,8,3,6.4
204,Samuel Bamba,de GER,FW,Dortmund,de Bundesliga,19,2,0,0,0.3
205,Lameck Banda,zm ZAM,FW,Lecce,it Serie A,22,21,2,4,3.6
206,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,23,14,0,0,0.1
207,Mamady Bangré,bf BFA,"FW,MF",Toulouse,fr Ligue 1,22,8,0,1,0.1
208,Mattia Bani,it ITA,DF,Genoa,it Serie A,29,27,2,0,1.2
209,Léo Baptistão,br BRA,FW,Almería,es La Liga,30,32,6,0,5.3
210,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,25,10,1,1,0.9
211,Antonín Barák,cz CZE,"MF,FW",Fiorentina,it Serie A,28,21,2,3,1.5
212,Valentín Barco,ar ARG,"DF,FW",Brighton,eng Premier League,19,6,0,0,0.2
213,Bradley Barcola,fr FRA,FW,Lyon,fr Ligue 1,20,3,0,0,0.1
214,Bradley Barcola,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,20,25,4,7,4.5
215,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,22,32,1,2,0.5
216,Nicolò Barella,it ITA,MF,Inter,it Serie A,26,37,2,3,5.1
217,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,26,16,0,0,0.2
218,Ross Barkley,eng ENG,MF,Luton Town,eng Premier League,29,32,5,4,4.1
219,Aymen Barkok,ma MAR,"MF,FW",Mainz 05,de Bundesliga,25,13,1,0,1.7
220,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,eng Premier League,25,21,5,3,3.6
221,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,23,31,4,1,4.5
222,Enzo Barrenechea,ar ARG,MF,Frosinone,it Serie A,22,36,0,1,0.6
223,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,21,29,4,1,3.5
224,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,20,24,0,1,0.9
225,Davide Bartesaghi,it ITA,"DF,MF",Milan,it Serie A,17,6,0,0,0.0
226,Marc Bartra,es ESP,DF,Betis,es La Liga,32,3,0,0,0.2
227,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,26,37,0,1,1.7
228,Steven Baseya,fr FRA,DF,Strasbourg,fr Ligue 1,18,2,0,0,0.0
229,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,35,8,0,0,0.1
230,Toma Bašić,hr CRO,MF,Salernitana,it Serie A,26,15,0,0,0.6
231,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,23,29,1,0,0.3
232,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,24,28,1,3,1.2
233,Simone Bastoni,it ITA,"MF,DF",Empoli,it Serie A,26,16,1,0,0.4
234,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27,17,0,0,0.0
235,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,32,4,0,0,0.0
236,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,23,14,1,0,1.4
237,Elias Baum,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,17,4,0,0,0.0
238,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33,34,0,1,0.0
239,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,de Bundesliga,23,32,5,1,3.7
240,Bebé,cv CPV,"MF,FW",Rayo Vallecano,es La Liga,33,19,2,0,1.4
241,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,de Bundesliga,29,32,7,5,4.9
242,Mohamed Bechikh,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,18,2,0,0,0.0
243,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,26,23,1,1,1.7
244,Owen Beck,wls WAL,DF,Liverpool,eng Premier League,20,1,0,0,0.0
245,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,es La Liga,28,15,2,2,1.4
246,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,de Bundesliga,28,11,0,1,0.8
247,Chris Bedia,ci CIV,"FW,MF",Union Berlin,de Bundesliga,27,7,1,0,0.2
248,Donny van de Beek,nl NED,DF,Manchester Utd,eng Premier League,26,1,0,0,0.0
249,Donny van de Beek,nl NED,"MF,FW",Eint Frankfurt,de Bundesliga,26,8,0,0,0.1
250,Yanis Begraoui,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,14,0,0,0.4
251,Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,32,13,1,1,1.6
252,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,32,18,4,0,6.0
253,Maximilian Beier,de GER,"FW,MF",Hoffenheim,de Bundesliga,20,33,16,1,11.4
254,Jérémie Bela,ao ANG,"MF,FW",Clermont Foot,fr Ligue 1,30,12,0,0,0.2
255,Reda Belahyane,ma MAR,MF,Hellas Verona,it Serie A,19,2,0,0,0.0
256,Reda Belahyane,ma MAR,MF,Nice,fr Ligue 1,19,1,0,0,0.0
257,Amari'i Bell,jm JAM,DF,Luton Town,eng Premier League,29,21,0,0,0.3
258,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,31,10,0,0,0.2
259,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21,15,0,0,0.0
260,Raoul Bellanova,it ITA,DF,Torino,it Serie A,23,37,1,7,2.0
261,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,eng Premier League,25,22,2,1,1.6
262,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,25,3,2,2,0.6
263,Héctor Bellerín,es ESP,DF,Betis,es La Liga,28,23,0,1,0.2
264,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,20,28,19,6,11.1
265,Jeanuël Belocian,fr FRA,DF,Rennes,fr Ligue 1,18,23,0,1,0.5
266,Andrea Belotti,it ITA,FW,Fiorentina,it Serie A,29,15,3,0,3.7
267,Andrea Belotti,it ITA,FW,Roma,it Serie A,29,14,3,2,2.4
268,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,24,33,0,0,0.7
269,Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,it Serie A,22,32,6,2,3.8
270,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,fr Ligue 1,18,13,2,1,0.8
271,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,eng Premier League,22,15,0,0,0.8
272,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,32,32,16,2,12.4
273,Carlos Benavídez,uy URU,MF,Alavés,es La Liga,25,29,3,1,1.0
274,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,25,20,2,2,1.7
275,Saïd Benrahma,dz ALG,"FW,MF",West Ham,eng Premier League,27,13,0,1,1.8
276,Saïd Benrahma,dz ALG,"FW,MF",Lyon,fr Ligue 1,27,12,3,3,1.6
277,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,28,17,0,0,1.7
278,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,28,26,0,3,0.4
279,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,26,23,1,1,1.9
280,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30,5,0,0,0.0
281,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,19,13,1,0,1.0
282,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,28,17,9,3,6.5
283,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,33,27,3,1,0.9
284,Álex Berenguer,es ESP,FW,Athletic Club,es La Liga,28,35,7,3,5.2
285,Bartosz Bereszyński,pl POL,DF,Empoli,it Serie A,31,24,0,1,0.1
286,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,eng Premier League,32,26,1,3,1.9
287,Sander Berge,no NOR,MF,Burnley,eng Premier League,25,37,1,2,1.9
288,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34,14,0,0,0.0
289,Medon Berisha,al ALB,"FW,MF",Lecce,it Serie A,19,6,0,0,0.2
290,Mergim Berisha,de GER,FW,Hoffenheim,de Bundesliga,25,6,0,0,0.5
291,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,25,2,0,0,0.2
292,Bernardo,br BRA,DF,Bochum,de Bundesliga,28,33,1,0,1.9
293,Victor Bernth Kristiansen,dk DEN,DF,Bologna,it Serie A,20,32,0,3,0.3
294,Matúš Bero,sk SVK,"MF,FW",Bochum,de Bundesliga,27,24,1,1,2.9
295,Luke Berry,eng ENG,"MF,DF",Luton Town,eng Premier League,31,17,2,1,1.0
296,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,25,4,0,0,0.0
297,Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,de Bundesliga,24,31,8,11,4.3
298,Beto,gw GNB,FW,Everton,eng Premier League,25,30,3,0,6.8
