Player,Overall,Goals,Assists,Expected Goals,Pace,Shooting,Passing,Dribbling,Defending,Physicality,National Team,League,Club Team,Age,Height_cm,Weight_kg,Position
Karim Adeyemi,79,3,1,3.5,96,73,71,81,34,70,Germany,Bundesliga,Dortmund,22,180,77,LM
Simon Adingra,76,6,1,4.3,88,70,69,80,30,52,Côte d'Ivoire,Premier League,Brighton,22,175,68,RM
Nathaniel Adjei,67,0,0,0.4,78,25,44,57,66,71,Ghana,Ligue 1,Lorient,22,191,77,CB
Amine Adli,78,4,6,3.3,83,76,69,82,42,74,Morocco,Bundesliga,Leverkusen,24,174,72,ST
Yacine Adli,77,1,2,0.3,70,69,80,77,71,70,France,Serie A,Milan,24,186,78,CDM
Adryelson,74,0,0,0.0,73,46,59,61,75,73,Brazil,Ligue 1,Lyon,26,184,76,CB
Michel Aebischer,76,0,1,1.1,66,67,74,75,74,74,Switzerland,Serie A,Bologna,27,183,76,CM
Emmanuel Agbadou,77,1,1,2.4,63,47,55,60,76,83,Côte d'Ivoire,Ligue 1,Reims,27,192,86,CB
Felix Agu,72,0,0,0.9,85,47,60,75,66,62,Germany,Bundesliga,Werder Bremen,24,180,67,LB
Nayef Aguerd,79,1,0,1.5,67,50,64,64,81,75,Morocco,Premier League,West Ham,28,190,76,CB
Ruben Aguilar,77,1,3,1.4,71,53,70,75,73,76,France,Ligue 1,Lens,31,172,69,RB
Brandon Aguilera,65,0,0,0.0,60,55,63,65,46,49,Costa Rica,Premier League,Nott'ham Forest,21,168,65,CAM
Naouirou Ahamada,69,0,0,0.5,70,63,66,73,61,62,France,Premier League,Crystal Palace,22,183,73,CM
Anel Ahmedhodžić,74,2,0,3.1,74,41,59,61,74,78,Bosnia and Herzegovina,Premier League,Sheffield Utd,25,195,84,CB
Joseph Aidoo,78,0,0,0.1,75,27,47,50,77,88,Ghana,La Liga,Celta Vigo,28,181,80,CB
Ola Aina,75,1,1,0.3,89,60,69,74,70,74,Nigeria,Premier League,Nott'ham Forest,27,184,82,LB
Rayan Aït-Nouri,79,2,1,3.3,84,52,73,82,73,70,Algeria,Premier League,Wolves,23,180,70,LB
Kristoffer Ajer,76,2,1,1.3,64,56,63,70,74,82,Norway,Premier League,Brentford,26,196,84,CB
Ludovic Ajorque,74,2,0,5.3,52,75,62,66,45,84,France,Bundesliga,Mainz 05,30,196,93,ST
Manuel Akanji,84,2,0,1.9,78,48,71,75,85,82,Switzerland,Premier League,Manchester City,29,187,91,CB
Nathan Aké,84,2,2,2.5,76,53,72,75,84,77,Holland,Premier League,Manchester City,29,180,75,CB
Ebenezer Akinsanmiro,67,0,0,0.0,76,67,67,70,61,72,Nigeria,Serie A,Inter,19,184,77,CM
Maghnes Akliouche,76,7,4,5.4,74,68,75,80,48,59,France,Ligue 1,Monaco,22,183,63,RM
Kevin Akpoguma,74,0,0,0.3,74,48,59,70,75,74,Nigeria,Bundesliga,Hoffenheim,29,192,85,CB
David Alaba,85,0,1,1.0,79,71,83,80,85,77,Austria,La Liga,Real Madrid,32,180,78,CB
Raúl Albiol,79,0,1,0.4,33,41,62,63,83,67,Spain,La Liga,Villarreal,39,190,82,CB
Rubén Alcaraz,74,3,1,3.3,51,71,76,71,73,81,Spain,La Liga,Cádiz,33,180,82,CM
Omar Alderete,77,0,1,1.2,63,61,62,69,78,78,Paraguay,La Liga,Getafe,27,188,77,CB
Iván Alejo,70,0,2,0.5,80,67,68,71,46,66,Spain,La Liga,Cádiz,29,184,76,RM
Trent Alexander-Arnold,86,3,4,2.6,75,72,90,80,80,74,England,Premier League,Liverpool,25,180,72,RB
Faride Alidou,69,4,0,3.0,83,59,60,73,28,61,Germany,Bundesliga,Köln,23,186,84,RM
Nabil Alioui,70,4,1,2.4,69,69,66,73,27,55,France,Ligue 1,Le Havre,25,175,64,LW
Alisson,89,0,0,0.0,86,85,85,89,56,90,Brazil,Premier League,Liverpool,31,193,91,GK
Tadeo Allende,72,1,0,1.2,80,74,65,69,36,73,Argentina,La Liga,Celta Vigo,25,185,73,RM
Jim Allevinah,71,2,1,2.6,82,69,64,73,45,50,Gabon,Ligue 1,Clermont Foot,29,172,70,RM
Miguel Almirón,78,3,1,4.5,87,75,73,80,57,65,Paraguay,Premier League,Newcastle Utd,30,174,70,RW
Edson Álvarez,81,1,1,1.3,66,58,69,72,83,87,Mexico,Premier League,West Ham,26,187,73,CDM
Gastón Álvarez,75,2,0,0.7,75,27,59,65,76,75,Uruguay,La Liga,Getafe,24,184,72,CB
Hugo Álvarez,63,1,1,1.0,65,57,63,63,53,50,Spain,La Liga,Celta Vigo,21,176,72,LM
Julián Álvarez,84,11,8,13.0,85,84,80,85,57,78,Argentina,Premier League,Manchester City,24,170,71,ST
Papa Amadou Diallo,66,2,1,2.6,76,65,57,70,22,51,Senegal,Ligue 1,Metz,20,182,67,LM
Selim Amallah,73,0,1,0.4,67,73,73,71,64,74,Morocco,La Liga,Valencia,27,186,81,CAM
Lorenzo Amatucci,60,0,0,0.0,56,46,60,63,55,50,Italy,Serie A,Fiorentina,20,172,71,CDM
Jordan Amavi,70,1,0,0.1,67,60,65,66,69,68,France,Ligue 1,Brest,30,176,70,LB
Zeki Amdouni,73,5,1,5.8,69,74,69,75,46,70,Switzerland,Premier League,Burnley,23,185,79,ST
Kelvin Amian,72,0,1,0.1,78,48,61,67,70,79,France,Ligue 1,Nantes,26,180,78,RB
Sofyan Amrabat,78,0,0,0.1,65,69,73,75,74,80,Morocco,Premier League,Manchester Utd,28,183,77,CDM
Joachim Andersen,80,2,3,1.7,52,57,72,66,79,84,Denmark,Premier League,Crystal Palace,28,192,90,CB
Elliot Anderson,75,0,2,1.5,72,66,72,79,69,77,Scotland,Premier League,Newcastle Utd,21,179,71,CM
Benjamin André,80,4,0,2.6,61,64,73,75,78,83,France,Ligue 1,Lille,34,180,76,CDM
Robert Andrich,83,4,2,1.7,54,77,76,73,83,83,Germany,Bundesliga,Leverkusen,29,186,85,CDM
Angeliño,77,0,1,0.2,63,70,81,81,73,66,Spain,Serie A,Roma,27,171,69,LB
Ângelo,73,0,3,0.4,84,60,69,80,30,45,Brazil,Ligue 1,Strasbourg,19,180,78,RM
Fabrizio Angileri,70,0,0,0.0,77,68,69,69,65,78,Argentina,La Liga,Getafe,30,185,73,LB
Jaidon Anthony,72,0,0,0.1,77,66,68,74,39,63,England,Premier League,Bournemouth,24,183,72,LM
Waldemar Anton,81,0,3,1.7,69,46,65,67,81,83,Germany,Bundesliga,Stuttgart,28,189,86,CB
Michail Antonio,78,6,2,5.8,77,74,72,76,54,82,Jamaica,Premier League,West Ham,34,180,82,ST
Antony,77,1,1,3.4,82,70,72,82,43,72,Brazil,Premier League,Manchester Utd,24,172,63,RM
Houssem Aouar,75,4,0,2.3,64,68,75,79,64,63,Algeria,Serie A,Roma,26,175,70,CM
Stredair Appuah,62,0,0,0.4,67,60,56,68,27,41,France,Ligue 1,Nantes,20,185,70,LM
Mauro Arambarri,78,0,0,0.5,60,65,72,74,78,78,Uruguay,La Liga,Getafe,28,175,74,CDM
Julian Araujo,74,1,0,0.7,90,33,62,69,70,75,Mexico,La Liga,Las Palmas,23,175,70,RB
Ronald Araújo,85,1,2,2.1,82,53,64,62,85,84,Uruguay,La Liga,Barcelona,25,188,79,CB
Oliver Arblaster,70,0,0,0.0,65,61,68,70,65,69,England,Premier League,Sheffield Utd,20,178,73,CM
Alphonse Areola,81,0,0,0.0,82,77,74,83,55,80,France,Premier League,West Ham,31,195,94,GK
Adu Ares,70,0,0,0.1,85,64,67,73,25,58,Spain,La Liga,Athletic Club,22,183,73,LM
Yoël Armougom,67,0,0,0.0,79,42,55,65,60,66,France,Ligue 1,Clermont Foot,26,173,71,LB
Hákon Arnar Haraldsson,74,2,0,0.8,76,64,71,77,57,68,Iceland,Ligue 1,Lille,21,180,73,LM
Marko Arnautović,80,5,3,5.0,70,79,78,79,44,78,Austria,Serie A,Inter,35,192,83,ST
Maximilian Arnold,80,2,1,1.0,63,79,79,77,76,76,Germany,Bundesliga,Wolfsburg,30,184,74,CDM
Arthur,77,0,2,0.1,59,65,79,83,71,65,Brazil,Bundesliga,Leverkusen,28,171,73,CDM
Takuma Asano,74,6,1,7.9,86,68,63,77,33,70,Japan,Bundesliga,Bochum,29,173,71,RM
Marco Asensio,81,4,5,3.2,76,79,81,83,43,63,Spain,Ligue 1,Paris S-G,28,182,76,RW
Kristjan Asllani,75,1,2,0.6,66,61,74,74,70,69,Albania,Serie A,Inter,22,179,70,CDM
Joel Asoro,69,2,1,0.6,89,65,59,70,21,70,Sweden,Ligue 1,Metz,25,176,75,RM
Iago Aspas,84,9,10,11.5,81,86,79,86,35,65,Spain,La Liga,Celta Vigo,37,176,67,ST
Arthur Atta,68,1,2,0.6,73,55,63,70,62,72,France,Ligue 1,Metz,21,189,77,CAM
Noah Atubolu,73,0,0,0.0,73,69,70,74,35,72,Germany,Bundesliga,Freiburg,22,190,99,GK
Pierre-Emerick Aubameyang,82,17,8,20.5,84,83,72,78,35,63,Gabon,Ligue 1,Marseille,35,187,80,ST
Emil Audero,79,0,0,0.0,80,74,73,83,53,76,Italy,Serie A,Inter,27,192,83,GK
Tommaso Augello,72,1,1,0.5,72,55,68,71,67,59,Italy,Serie A,Cagliari,30,180,70,LB
Carlos Augusto,79,0,3,1.0,81,72,77,80,75,80,Brazil,Serie A,Inter,25,184,75,LM
Yann Aurel Bisseck,77,2,0,0.9,75,54,63,70,76,83,Germany,Serie A,Inter,23,196,87,CB
Taiwo Awoniyi,76,6,3,4.7,75,76,60,69,32,79,Nigeria,Premier League,Nott'ham Forest,27,183,84,ST
Jordan Ayew,75,4,7,3.9,71,73,71,78,57,74,Ghana,Premier League,Crystal Palace,33,182,81,RW
Neil El Aynaoui,75,1,2,2.4,63,61,70,74,66,71,Morocco,Ligue 1,Lens,23,185,77,CM
Paulo Azzi,69,0,0,1.2,82,63,64,71,61,69,Brazil,Serie A,Cagliari,30,188,80,LB
Oussama El Azzouzi,70,2,2,0.5,55,58,64,66,69,67,Morocco,Serie A,Bologna,23,189,75,CDM
Iddrisu Baba,75,0,0,0.7,61,64,66,68,71,76,Ghana,La Liga,Almería,28,185,73,CDM
Milan Badelj,73,1,3,1.4,44,61,71,71,70,70,Croatia,Serie A,Genoa,35,186,80,CDM
Matthias Bader,72,1,2,0.7,71,41,61,69,68,69,Germany,Bundesliga,Darmstadt 98,27,176,73,RB
Benoît Badiashile,78,0,1,0.3,62,47,67,60,78,77,France,Premier League,Chelsea,23,194,75,CB
Nicola Bagnolini,60,0,0,0.0,62,57,59,65,34,53,Italy,Serie A,Bologna,20,193,78,GK
Leon Bailey,82,10,9,6.3,90,78,77,86,38,62,Jamaica,Premier League,Aston Villa,27,178,77,RM
Eric Bailly,76,0,0,0.2,68,42,59,66,76,71,Côte d'Ivoire,La Liga,Villarreal,30,187,77,CB
Stefan Bajcetic,72,0,0,0.0,66,52,66,72,69,66,Spain,Premier League,Liverpool,19,185,77,CDM
Nedim Bajrami,74,2,2,2.5,75,68,73,77,58,65,Albania,Serie A,Sassuolo,25,179,68,CAM
Cédric Bakambu,75,0,0,0.4,77,74,66,72,36,62,Congo DR,La Liga,Betis,33,182,73,ST
Tiemoué Bakayoko,72,2,1,1.7,51,50,65,67,71,77,France,Ligue 1,Lorient,30,189,85,CDM
Mitchel Bakker,72,1,0,0.2,79,59,67,71,71,75,Holland,Serie A,Atalanta,24,185,87,LM
Ridle Baku,77,1,0,1.8,82,72,73,81,71,76,Germany,Bundesliga,Wolfsburg,26,176,72,RB
Dilane Bakwa,75,3,6,3.2,85,68,70,78,30,62,France,Ligue 1,Strasbourg,22,179,77,RM
Alejandro Balde,81,0,1,0.1,91,48,73,78,75,64,Spain,La Liga,Barcelona,20,175,69,LB
George Baldock,70,0,1,0.0,70,47,63,69,65,72,Greece,Premier League,Sheffield Utd,31,175,67,RB
Leonardo Balerdi,79,2,0,0.9,64,45,62,68,80,77,Argentina,Ligue 1,Marseille,25,187,85,CB
Iván Balliu,77,0,1,0.7,81,51,70,74,72,71,Albania,La Liga,Rayo Vallecano,32,172,63,RB
Fodé Ballo-Touré,70,0,0,0.0,81,51,68,72,68,62,Senegal,Premier League,Fulham,27,182,70,LB
Folarin Balogun,77,7,5,11.0,84,77,62,77,23,69,United States,Ligue 1,Monaco,23,178,66,ST
Jonathan Bamba,77,3,2,3.0,83,73,73,79,39,67,Côte d'Ivoire,La Liga,Celta Vigo,28,175,72,LM
Mohamed Bamba,73,8,3,6.4,79,74,56,72,28,72,Côte d'Ivoire,Ligue 1,Lorient,22,180,72,ST
Samuel Bamba,64,0,0,0.3,80,50,57,69,24,44,Germany,Bundesliga,Dortmund,20,179,70,LM
Lameck Banda,72,2,4,3.6,88,66,60,77,30,43,Zambia,Serie A,Lecce,23,162,69,LW
Mamady Bangré,68,0,1,0.1,69,57,66,70,45,46,Burkina Faso,Ligue 1,Toulouse,23,171,65,RM
Mattia Bani,71,2,0,1.2,46,20,42,53,74,70,Italy,Serie A,Genoa,30,188,81,CB
Léo Baptistão,74,6,0,5.3,76,73,69,74,33,69,Brazil,La Liga,Almería,32,185,71,RM
Shandon Baptiste,69,1,1,0.9,67,58,67,75,68,65,Grenada,Premier League,Brentford,26,175,67,CM
Antonín Barák,78,2,3,1.5,69,77,79,79,65,73,Czech Republic,Serie A,Fiorentina,29,190,86,CM
Valentín Barco,73,0,0,0.2,76,50,75,77,65,60,Argentina,Premier League,Brighton,20,170,66,LB
Melvin Bard,78,1,2,0.5,78,52,69,74,75,76,France,Ligue 1,Nice,23,173,65,LB
Nicolò Barella,87,2,3,5.1,81,78,83,86,80,82,Italy,Serie A,Inter,27,172,68,CM
Kike Barja,75,0,0,0.2,76,67,69,76,35,59,Spain,La Liga,Osasuna,27,179,69,RM
Ross Barkley,78,5,4,4.1,53,75,78,77,63,74,England,Premier League,Luton Town,30,186,76,CM
Aymen Barkok,71,1,0,1.7,68,67,67,76,54,66,Morocco,Bundesliga,Mainz 05,26,189,82,CAM
Harvey Barnes,80,5,3,3.6,85,78,75,81,43,68,England,Premier League,Newcastle Utd,26,185,72,LW
Leandro Barreiro Martins,76,4,1,4.5,72,63,69,79,73,64,Luxembourg,Bundesliga,Mainz 05,24,174,67,CM
Enzo Barrenechea,71,0,1,0.6,57,63,68,71,62,69,Argentina,Serie A,Frosinone,23,186,81,CDM
Pablo Barrios,76,0,1,0.9,76,68,72,75,69,63,Spain,La Liga,Atlético Madrid,21,181,75,CM
Marc Bartra,78,0,0,0.2,68,61,71,72,78,75,Spain,La Liga,Betis,33,184,73,CB
Federico Baschirotto,76,0,1,1.7,70,53,60,57,75,86,Italy,Serie A,Lecce,27,184,77,CB
Toma Bašić,74,0,0,0.6,43,65,75,72,72,74,Croatia,Serie A,Salernitana,27,190,82,CM
Calvin Bassey,76,1,0,0.3,82,44,62,67,74,86,Nigeria,Premier League,Fulham,24,185,76,CB
Alessandro Bastoni,87,1,3,1.2,75,43,75,76,87,83,Italy,Serie A,Inter,25,190,75,CB
Simone Bastoni,71,1,0,0.4,63,58,71,69,68,66,Italy,Serie A,Empoli,27,183,74,CM
Augusto Batalla,76,0,0,0.0,77,73,74,78,43,74,Argentina,La Liga,Granada,28,185,87,GK
Daniel Batz,71,0,0,0.0,71,69,67,74,35,71,Germany,Bundesliga,Mainz 05,33,191,87,GK
Maximilian Bauer,72,1,0,1.4,54,26,48,52,74,73,Germany,Bundesliga,Augsburg,24,189,84,CB
Elias Baum,61,0,0,0.0,68,40,53,63,57,57,Germany,Bundesliga,Eint Frankfurt,18,180,73,RB
Oliver Baumann,82,0,1,0.0,81,80,78,83,39,79,Germany,Bundesliga,Hoffenheim,34,187,82,GK
Christoph Baumgartner,80,5,1,3.7,77,74,74,82,47,60,Austria,Bundesliga,RB Leipzig,25,180,73,CAM
Bebé,73,2,0,1.4,81,76,70,71,41,83,Cape Verde Islands,La Liga,Rayo Vallecano,34,190,83,LM
Ihlas Bebou,76,7,5,4.9,85,74,68,78,34,65,Togo,Bundesliga,Hoffenheim,30,185,80,ST
Adrian Beck,70,1,1,1.7,58,68,68,68,66,71,Germany,Bundesliga,Heidenheim,27,185,81,CM
Owen Beck,69,0,0,0.0,71,51,64,71,64,67,Wales,Premier League,Liverpool,22,181,74,LB
Chris Bedia,71,1,0,0.2,68,71,54,67,33,78,Côte d'Ivoire,Bundesliga,Union Berlin,28,190,85,ST
Yanis Begraoui,68,0,0,0.4,75,65,58,71,21,61,Morocco,Ligue 1,Toulouse,23,178,70,ST
Maximilian Beier,78,16,1,11.4,89,79,65,79,26,60,Germany,Bundesliga,Hoffenheim,21,185,72,ST
Amari'i Bell,71,0,0,0.3,75,50,60,67,71,73,Jamaica,Premier League,Luton Town,30,180,76,CB
Stefan Bell,72,0,0,0.2,34,38,52,48,74,71,Germany,Bundesliga,Mainz 05,33,192,88,CB
Alaa Bellaarouch,68,0,0,0.0,71,63,70,69,56,68,Morocco,Ligue 1,Strasbourg,22,188,75,GK
Raoul Bellanova,76,1,7,2.0,86,32,65,73,69,72,Italy,Serie A,Torino,24,188,85,RB
Héctor Bellerín,76,0,1,0.2,80,51,69,76,72,64,Spain,La Liga,Betis,29,178,74,RB
Jude Bellingham,90,19,6,11.1,80,87,83,88,78,83,England,La Liga,Real Madrid,21,186,75,CAM
Jeanuël Belocian,70,0,1,0.5,68,41,64,65,70,69,France,Ligue 1,Rennes,19,182,73,CB
Fran Beltrán,78,0,0,0.7,58,56,77,75,76,66,Spain,La Liga,Celta Vigo,25,165,64,CDM
Lucas Beltrán,75,6,2,3.8,72,76,68,76,46,77,Argentina,Serie A,Fiorentina,23,176,76,ST
Eliesse Ben Seghir,73,2,1,0.8,77,73,65,77,28,54,Morocco,Ligue 1,Monaco,19,178,72,CAM
Carlos Benavídez,71,3,1,1.0,67,44,63,66,71,72,Uruguay,La Liga,Alavés,26,185,77,CDM
Ismaël Bennacer,83,2,2,1.7,77,73,82,85,78,75,Algeria,Serie A,Milan,26,175,70,CDM
Ramy Bensebaini,78,0,0,1.7,75,70,70,75,78,77,Algeria,Bundesliga,Dortmund,29,187,82,LB
Nabil Bentaleb,78,0,3,0.4,52,72,77,79,71,75,Algeria,Ligue 1,Lille,29,187,78,CDM
Rodrigo Bentancur,81,1,1,1.9,67,68,80,82,79,76,Uruguay,Premier League,Tottenham,27,187,73,CM
Daniel Bentley,72,0,0,0.0,73,67,69,73,46,72,England,Premier League,Wolves,31,188,73,GK
Lucas Beraldo,77,1,0,1.0,68,38,65,67,76,74,Brazil,Ligue 1,Paris S-G,20,182,78,CB
Domenico Berardi,83,9,3,6.5,79,81,78,85,36,70,Italy,Serie A,Sassuolo,30,183,72,RW
Yuri Berchiche,79,3,1,0.9,79,68,74,75,77,83,Spain,La Liga,Athletic Club,34,181,80,LB
Álex Berenguer,81,7,3,5.2,85,75,75,83,64,68,Spain,La Liga,Athletic Club,29,175,73,LM
Bartosz Bereszyński,72,0,1,0.1,76,56,64,69,67,72,Poland,Serie A,Empoli,32,182,77,RB
Jóhann Berg Guðmundsson,72,1,3,1.9,63,71,74,72,61,67,Iceland,Premier League,Burnley,33,179,77,RM
Sander Berge,76,1,2,1.9,53,65,73,71,75,85,Norway,Premier League,Burnley,26,195,96,CM
Medon Berisha,60,0,0,0.2,47,47,59,58,59,60,Albania,Serie A,Lecce,20,186,71,CM
Bernardo,75,1,0,1.9,71,53,64,68,75,75,Brazil,Bundesliga,Bochum,29,186,76,LB
Matúš Bero,72,1,1,2.9,70,71,69,71,70,81,Slovakia,Bundesliga,Bochum,29,181,81,CM
Luke Berry,67,2,1,1.0,59,65,66,70,62,62,England,Premier League,Luton Town,32,177,72,CM
Dimitry Bertaud,73,0,0,0.0,73,69,72,75,53,72,Congo DR,Ligue 1,Montpellier,26,180,85,GK
Jan-Niklas Beste,78,8,11,4.3,78,72,79,76,60,64,Germany,Bundesliga,Heidenheim,25,175,66,LM
Davide Bettella,64,0,0,0.0,51,35,47,50,67,56,Italy,Serie A,Monza,24,185,75,CB
Sam Beukema,77,1,1,1.9,49,55,60,62,78,76,Holland,Serie A,Bologna,25,188,77,CB
Jordan Beyer,76,0,1,0.5,72,34,63,70,76,75,Germany,Premier League,Burnley,24,187,80,CB
Pep Biel,74,0,0,1.0,70,72,72,77,48,59,Spain,Bundesliga,Augsburg,28,167,64,CAM
Jaka Bijol,75,0,0,1.9,59,59,65,61,75,77,Slovenia,Serie A,Udinese,25,190,85,CB
El Bilal Touré,72,2,0,1.2,71,72,61,71,23,63,Mali,Serie A,Atalanta,22,185,72,ST
Philip Billing,77,2,2,2.5,50,77,73,73,72,80,Denmark,Premier League,Bournemouth,28,197,80,CM
Cristiano Biraghi,79,2,5,1.6,72,69,78,76,76,73,Italy,Serie A,Fiorentina,32,185,78,LB
Samuele Birindelli,74,0,2,1.1,83,52,65,71,70,63,Italy,Serie A,Monza,25,176,70,RB
Tom Bischof,68,0,2,0.4,61,55,66,73,44,51,Germany,Bundesliga,Hoffenheim,19,176,66,CAM
Yves Bissouma,80,0,0,1.4,71,67,75,81,78,77,Mali,Premier League,Tottenham,28,182,78,CDM
Leonardo Bittencourt,73,1,2,2.2,65,67,71,80,57,59,Germany,Bundesliga,Werder Bremen,30,171,63,CAM
Marco Bizot,79,0,0,0.0,79,76,72,80,46,79,Holland,Ligue 1,Brest,33,193,88,GK
Antonio Blanco,74,0,1,0.8,52,57,68,67,70,62,Spain,La Liga,Alavés,24,176,68,CDM
Rubén Blanco,74,0,0,0.0,79,72,73,74,53,70,Spain,Ligue 1,Marseille,29,188,70,GK
Hendry Blank,64,0,0,0.0,67,33,46,54,64,65,Germany,Bundesliga,Dortmund,20,190,77,CB
Ludovic Blas,77,4,1,4.7,73,77,76,79,58,64,France,Ligue 1,Rennes,26,180,77,RM
Janis Blaswich,77,0,0,0.0,77,75,70,80,43,76,Germany,Bundesliga,RB Leipzig,33,193,89,GK
Alexis Blin,72,0,2,1.1,31,54,63,65,69,77,France,Serie A,Lecce,27,184,78,CDM
Daley Blind,80,1,2,1.7,36,62,83,77,83,70,Holland,La Liga,Girona,34,180,72,CB
Myron Boadu,72,1,0,0.4,81,72,61,74,28,64,Holland,Ligue 1,Monaco,23,181,67,ST
Jérôme Boateng,68,0,0,0.0,33,47,67,56,70,60,Germany,Serie A,Salernitana,36,190,94,CB
Oscar Bobb,72,1,1,1.4,80,62,71,79,33,41,Norway,Premier League,Manchester City,21,174,73,RW
Sacha Boey,79,0,0,0.2,82,55,66,77,78,80,France,Bundesliga,Bayern Munich,24,178,76,RB
Jayden Bogle,73,3,0,2.3,79,55,67,74,69,68,England,Premier League,Sheffield Utd,24,178,69,RB
Adama Bojang,64,0,0,1.3,62,64,50,60,36,57,Gambia,Ligue 1,Reims,20,191,79,ST
Daniel Boloca,72,1,0,0.5,59,59,70,74,63,72,Romania,Serie A,Sassuolo,25,188,80,CDM
Willy Boly,77,2,1,1.5,34,36,60,58,77,78,Côte d'Ivoire,Premier League,Nott'ham Forest,33,195,97,CB
Giacomo Bonaventura,79,8,3,5.7,65,78,80,80,70,64,Italy,Serie A,Fiorentina,35,180,75,CAM
Federico Bonazzoli,71,3,1,2.9,65,71,62,71,28,59,Italy,Serie A,Hellas Verona,27,182,79,ST
Warren Bondo,66,1,1,0.9,74,55,62,72,58,63,France,Serie A,Monza,20,177,63,CM
Giovanni Bonfanti,61,0,0,0.1,39,35,49,50,65,56,Italy,Serie A,Atalanta,21,187,80,CB
Victor Boniface,82,14,8,15.4,73,83,66,80,38,82,Nigeria,Bundesliga,Leverkusen,23,190,91,ST
Neto Borges,73,0,1,0.5,70,50,66,72,69,80,Brazil,Ligue 1,Clermont Foot,28,185,84,LB
Yvandro Borges Sanches,64,0,0,0.0,77,57,64,63,53,58,Luxembourg,Bundesliga,Gladbach,20,175,68,LM
Sebastiaan Bornauw,74,0,0,0.8,74,45,59,55,74,77,Belgium,Bundesliga,Wolfsburg,25,191,83,CB
Gennaro Borrelli,61,0,0,0.0,45,60,38,55,24,62,Italy,Serie A,Frosinone,24,194,90,ST
Erik Botheim,70,0,0,0.1,71,69,58,67,38,74,Norway,Serie A,Salernitana,24,187,70,ST
Sven Botman,82,2,2,0.6,60,37,63,65,83,83,Holland,Premier League,Newcastle Utd,24,193,81,CB
Hicham Boudaoui,76,2,0,3.3,75,65,73,77,74,74,Algeria,Ligue 1,Nice,24,175,61,CM
Yassine Bounou,84,0,0,0.0,81,82,77,86,38,83,Morocco,La Liga,Sevilla,33,195,78,GK
Bilal Boutobba,70,1,1,2.0,75,67,70,73,22,40,France,Ligue 1,Clermont Foot,26,172,65,RM
Edoardo Bove,74,0,2,2.0,66,68,67,74,74,70,Italy,Serie A,Roma,22,175,64,CM
Jarrod Bowen,82,16,6,11.6,77,81,76,81,46,70,England,Premier League,West Ham,27,175,70,RM
Lucas Boyé,76,6,3,6.2,69,75,64,78,49,81,Argentina,La Liga,Granada,28,183,79,ST
Domagoj Bradarić,69,0,3,0.8,74,55,65,69,68,63,Croatia,Serie A,Salernitana,24,178,69,LM
Conor Bradley,75,1,3,0.9,82,59,66,73,70,72,Northern Ireland,Premier League,Liverpool,21,181,71,RB
Julian Brandt,85,7,11,4.4,71,79,85,86,50,70,Germany,Bundesliga,Dortmund,28,185,83,CAM
Jarrad Branthwaite,79,3,0,1.7,71,37,53,59,79,77,England,Premier League,Everton,22,195,74,CB
Darko Brašanac,73,0,0,0.0,50,69,72,70,72,71,Serbia,La Liga,Osasuna,32,178,73,CM
Lilian Brassier,78,3,0,1.1,69,37,65,69,79,75,France,Ligue 1,Brest,24,186,78,CB
