Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Nation,League,Team,Age,Height,Weight,Position
Paulo Dybala,87,80,85,84,89,41,65,Argentina,Serie A Enilive,AS Roma,30,"177cm / 5'10""",75kg / 165lb,CAM
Theo Hernández,87,95,76,78,84,81,89,France,Serie A Enilive,Milano FC,26,"184cm / 6'0""",81kg / 179lb,LB
Neymar Jr,87,85,79,84,92,37,60,Brazil,ROSHN Saudi League,Al Hilal,32,"175cm / 5'9""",68kg / 150lb,LW
Declan Rice,87,73,72,82,79,84,85,England,Premier League,Arsenal,25,"185cm / 6'1""",80kg / 176lb,CDM
Frenkie de Jong,87,82,69,86,87,77,78,Holland,LALIGA EA SPORTS,FC Barcelona,27,"181cm / 5'11""",74kg / 163lb,CM
Mike Maignan,87,84,83,85,88,64,84,France,Serie A Enilive,Milano FC,29,"191cm / 6'3""",89kg / 196lb,GK
Bruno Fernandes,87,70,85,88,83,65,75,Portugal,Premier League,Man Utd,30,"179cm / 5'10""",69kg / 152lb,CAM
Son Heung-min,87,87,89,81,85,42,73,Korea Republic,Premier League,Spurs,32,"183cm / 6'0""",78kg / 172lb,ST
Marquinhos,87,79,56,75,74,89,81,Brazil,Ligue 1 McDonald's,Paris SG,30,"183cm / 6'0""",75kg / 165lb,CB
Alessandro Bastoni,87,75,43,75,76,87,83,Italy,Serie A Enilive,Lombardia FC,25,"190cm / 6'3""",75kg / 165lb,CB
İlkay Gündoğan,87,62,83,85,87,74,73,Germany,Premier League,Manchester City,33,"180cm / 5'11""",80kg / 176lb,CM
Emiliano Martínez,87,84,82,83,86,56,87,Argentina,Premier League,Aston Villa,32,"195cm / 6'5""",88kg / 194lb,GK
Nicolò Barella,87,81,78,83,86,80,82,Italy,Serie A Enilive,Lombardia FC,27,"172cm / 5'8""",68kg / 150lb,CM
Yann Sommer,87,83,84,85,89,50,86,Switzerland,Serie A Enilive,Lombardia FC,35,"183cm / 6'0""",77kg / 170lb,GK
Cristiano Ronaldo,86,77,88,77,80,34,77,Portugal,ROSHN Saudi League,Al Nassr,39,"187cm / 6'2""",85kg / 187lb,ST
Gabriel Magalhães,86,69,41,63,61,86,82,Brazil,Premier League,Arsenal,26,"190cm / 6'3""",87kg / 192lb,CB
Granit Xhaka,86,50,75,85,74,79,82,Switzerland,Bundesliga,Leverkusen,31,"186cm / 6'1""",80kg / 176lb,CDM
Rodrygo,86,89,81,79,88,31,64,Brazil,LALIGA EA SPORTS,Real Madrid,23,"174cm / 5'9""",64kg / 141lb,RW
João Cancelo,86,81,73,85,85,80,72,Portugal,ROSHN Saudi League,Al Hilal,30,"182cm / 6'0""",74kg / 163lb,LB
Rafael Leão,86,94,79,80,87,28,77,Portugal,Serie A Enilive,Milano FC,25,"188cm / 6'2""",81kg / 179lb,LW
Grimaldo,86,74,73,88,85,76,71,Spain,Bundesliga,Leverkusen,28,"171cm / 5'7""",68kg / 150lb,LM
Luka Modrić,86,72,76,88,87,71,64,Croatia,LALIGA EA SPORTS,Real Madrid,39,"172cm / 5'8""",66kg / 146lb,CM
Alexis Mac Allister,86,69,82,85,84,76,76,Argentina,Premier League,Liverpool,25,"176cm / 5'9""",72kg / 159lb,CM
Dani Carvajal,86,81,58,79,81,81,79,Spain,LALIGA EA SPORTS,Real Madrid,32,"173cm / 5'8""",73kg / 161lb,RB
Ousmane Dembélé,86,92,75,82,88,41,57,France,Ligue 1 McDonald's,Paris SG,27,"178cm / 5'10""",67kg / 148lb,RW
Trent Alexander-Arnold,86,75,72,90,80,80,74,England,Premier League,Liverpool,25,"180cm / 5'11""",72kg / 159lb,RB
Pedri,86,77,69,82,88,70,74,Spain,LALIGA EA SPORTS,FC Barcelona,21,"174cm / 5'9""",60kg / 132lb,CM
Jonathan Tah,86,71,38,60,62,86,84,Germany,Bundesliga,Leverkusen,28,"195cm / 6'5""",94kg / 207lb,CB
Karim Benzema,86,77,85,81,84,38,77,France,ROSHN Saudi League,Al Ittihad,36,"185cm / 6'1""",81kg / 179lb,ST
Bremer,86,82,50,58,66,86,85,Brazil,Serie A Enilive,Juventus,27,"187cm / 6'2""",84kg / 185lb,CB
Joshua Kimmich,86,69,74,88,84,81,77,Germany,Bundesliga,FC Bayern München,29,"177cm / 5'10""",75kg / 165lb,RB
Unai Simón,86,85,81,78,86,49,85,Spain,LALIGA EA SPORTS,Athletic Club,27,"190cm / 6'3""",89kg / 196lb,GK
Manuel Neuer,86,83,81,90,83,49,88,Germany,Bundesliga,FC Bayern München,38,"193cm / 6'4""",93kg / 205lb,GK
Hakan Çalhanoğlu,86,71,80,87,85,79,76,Turkey,Serie A Enilive,Lombardia FC,30,"178cm / 5'10""",69kg / 152lb,CDM
David Alaba,85,79,71,83,80,85,77,Austria,LALIGA EA SPORTS,Real Madrid,32,"180cm / 5'11""",78kg / 172lb,CB
Ronald Araújo,85,82,53,64,62,85,84,Uruguay,LALIGA EA SPORTS,FC Barcelona,25,"188cm / 6'2""",79kg / 174lb,CB
Julian Brandt,85,71,79,85,86,50,70,Germany,Bundesliga,Borussia Dortmund,28,"185cm / 6'1""",83kg / 183lb,CAM
Éder Militão,85,85,50,69,71,85,82,Brazil,LALIGA EA SPORTS,Real Madrid,26,"186cm / 6'1""",78kg / 172lb,CB
Bruno Guimarães,85,68,75,83,84,79,83,Brazil,Premier League,Newcastle Utd,26,"182cm / 6'0""",74kg / 163lb,CDM
Alexander Isak,85,85,84,73,86,39,74,Sweden,Premier League,Newcastle Utd,24,"192cm / 6'4""",77kg / 170lb,ST
N'Golo Kanté,85,76,65,73,80,85,78,France,ROSHN Saudi League,Al Ittihad,33,"168cm / 5'6""",70kg / 154lb,CDM
Jules Koundé,85,84,45,70,75,86,80,France,LALIGA EA SPORTS,FC Barcelona,25,"180cm / 5'11""",75kg / 165lb,RB
Khvicha Kvaratskhelia,85,86,79,80,86,41,71,Georgia,Serie A Enilive,SSC Napoli,23,"183cm / 6'0""",70kg / 154lb,LW
Vitinha,85,72,77,84,87,73,68,Portugal,Ligue 1 McDonald's,Paris SG,24,"172cm / 5'8""",64kg / 141lb,CM
James Maddison,85,71,81,86,86,54,63,England,Premier League,Spurs,27,"175cm / 5'9""",73kg / 161lb,CAM
Riyad Mahrez,85,79,81,81,88,39,62,Algeria,ROSHN Saudi League,Al Ahli,33,"179cm / 5'10""",67kg / 148lb,RM
Giorgi Mamardashvili,85,86,83,72,85,48,85,Georgia,LALIGA EA SPORTS,Valencia CF,23,"199cm / 6'6""",88kg / 194lb,GK
Mikel Merino,85,72,79,82,82,83,82,Spain,Premier League,Arsenal,28,"189cm / 6'2""",83kg / 183lb,CM
Sergej Milinković-Savić,85,64,80,81,82,78,88,Serbia,ROSHN Saudi League,Al Hilal,29,"192cm / 6'4""",95kg / 209lb,CM
Loïs Openda,85,93,84,69,81,31,79,Belgium,Bundesliga,RB Leipzig,24,"177cm / 5'10""",75kg / 165lb,ST
João Palhinha,85,52,68,72,74,85,90,Portugal,Bundesliga,FC Bayern München,29,"190cm / 6'3""",83kg / 183lb,CDM
Cole Palmer,85,75,82,83,86,50,66,England,Premier League,Chelsea,22,"189cm / 6'2""",74kg / 163lb,RM
Andrew Robertson,85,78,61,82,79,81,78,Scotland,Premier League,Liverpool,30,"178cm / 5'10""",64kg / 141lb,LB
Leroy Sané,85,90,83,80,86,37,70,Germany,Bundesliga,FC Bayern München,28,"183cm / 6'0""",80kg / 176lb,RM
Nico Schlotterbeck,85,77,59,70,73,85,82,Germany,Bundesliga,Borussia Dortmund,24,"191cm / 6'3""",86kg / 190lb,CB
John Stones,85,69,58,75,79,85,77,England,Premier League,Manchester City,30,"188cm / 6'2""",76kg / 168lb,CB
Aurélien Tchouaméni,85,73,69,79,78,82,82,France,LALIGA EA SPORTS,Real Madrid,24,"188cm / 6'2""",82kg / 181lb,CDM
Diogo Jota,85,82,82,75,84,57,79,Portugal,Premier League,Liverpool,27,"178cm / 5'10""",70kg / 154lb,ST
Sandro Tonali,85,84,74,81,81,82,82,Italy,Premier League,Newcastle Utd,24,"181cm / 5'11""",79kg / 174lb,CDM
Ollie Watkins,85,85,83,73,80,50,83,England,Premier League,Aston Villa,28,"180cm / 5'11""",70kg / 154lb,ST
Nico Williams,85,93,75,78,86,36,65,Spain,LALIGA EA SPORTS,Athletic Club,22,"181cm / 5'11""",67kg / 148lb,LM
Francesco Acerbi,84,60,50,64,65,86,80,Italy,Serie A Enilive,Lombardia FC,36,"192cm / 6'4""",88kg / 194lb,CB
Manuel Akanji,84,78,48,71,75,85,82,Switzerland,Premier League,Manchester City,29,"187cm / 6'2""",91kg / 201lb,CB
Nathan Aké,84,76,53,72,75,84,77,Holland,Premier League,Manchester City,29,"180cm / 5'11""",75kg / 165lb,CB
Julián Álvarez,84,85,84,80,85,57,78,Argentina,LALIGA EA SPORTS,Atlético de Madrid,24,"170cm / 5'7""",71kg / 157lb,ST
Iago Aspas,84,81,86,79,86,35,65,Spain,LALIGA EA SPORTS,RC Celta,37,"176cm / 5'9""",67kg / 148lb,ST
Yassine Bounou,84,81,82,77,86,38,83,Morocco,ROSHN Saudi League,Al Hilal,33,"195cm / 6'5""",78kg / 172lb,GK
Federico Chiesa,84,93,83,76,86,52,75,Italy,Premier League,Liverpool,26,"175cm / 5'9""",70kg / 154lb,RW
Kingsley Coman,84,89,75,79,87,30,62,France,Bundesliga,FC Bayern München,28,"181cm / 5'11""",75kg / 165lb,LM
Rúben Neves,84,57,75,86,77,77,77,Portugal,ROSHN Saudi League,Al Hilal,27,"180cm / 5'11""",83kg / 183lb,CDM
Matthijs de Ligt,84,62,61,63,67,85,83,Holland,Premier League,Man Utd,25,"189cm / 6'2""",89kg / 196lb,CB
Rodrigo De Paul,84,76,77,83,82,76,82,Argentina,LALIGA EA SPORTS,Atlético de Madrid,30,"180cm / 5'11""",70kg / 154lb,CM
Raphinha,84,91,79,78,86,53,73,Brazil,LALIGA EA SPORTS,FC Barcelona,27,"176cm / 5'9""",68kg / 150lb,RW
Luis Díaz,84,90,80,75,87,39,75,Colombia,Premier League,Liverpool,27,"180cm / 5'11""",73kg / 161lb,LW
Federico Dimarco,84,80,77,84,83,78,81,Italy,Serie A Enilive,Lombardia FC,26,"174cm / 5'9""",76kg / 168lb,LB
Artem Dovbyk,84,84,85,69,79,34,81,Ukraine,Serie A Enilive,AS Roma,27,"189cm / 6'2""",78kg / 172lb,ST
Jeremie Frimpong,84,93,62,75,86,75,69,Holland,Bundesliga,Leverkusen,23,"172cm / 5'8""",65kg / 143lb,RM
Aleix García,84,67,77,85,84,76,68,Spain,Bundesliga,Leverkusen,27,"173cm / 5'8""",68kg / 150lb,CM
Jack Grealish,84,76,76,82,88,53,73,England,Premier League,Manchester City,29,"180cm / 5'11""",81kg / 179lb,LW
Serhou Guirassy,84,69,86,71,80,39,79,Guinea,Bundesliga,Borussia Dortmund,28,"187cm / 6'2""",82kg / 181lb,ST
Viktor Gyökeres,84,90,83,67,80,36,91,Sweden,Liga Portugal,Sporting CP,26,"187cm / 6'2""",90kg / 198lb,ST
Achraf Hakimi,84,91,76,80,80,75,78,Morocco,Ligue 1 McDonald's,Paris SG,25,"181cm / 5'11""",73kg / 161lb,RB
Lukáš Hrádecký,84,85,80,69,87,40,82,Finland,Bundesliga,Leverkusen,34,"192cm / 6'4""",85kg / 187lb,GK
Kalidou Koulibaly,84,76,48,64,67,85,84,Senegal,ROSHN Saudi League,Al Hilal,33,"186cm / 6'1""",93kg / 205lb,CB
Sadio Mané,84,83,81,78,86,44,75,Senegal,ROSHN Saudi League,Al Nassr,32,"174cm / 5'9""",69kg / 152lb,LM
Lisandro Martínez,84,71,59,78,79,85,81,Argentina,Premier League,Man Utd,26,"178cm / 5'10""",77kg / 170lb,CB
Diogo Costa,84,83,78,82,86,35,83,Portugal,Liga Portugal,FC Porto,24,"192cm / 6'4""",84kg / 185lb,GK
Ferland Mendy,84,89,64,76,76,81,85,France,LALIGA EA SPORTS,Real Madrid,29,"180cm / 5'11""",73kg / 161lb,LB
Christopher Nkunku,84,81,81,81,86,60,67,France,Premier League,Chelsea,26,"177cm / 5'10""",68kg / 150lb,CAM
Dani Olmo,84,73,77,82,87,50,57,Spain,LALIGA EA SPORTS,FC Barcelona,26,"179cm / 5'10""",72kg / 159lb,CAM
Exequiel Palacios,84,69,76,79,82,82,73,Argentina,Bundesliga,Leverkusen,25,"178cm / 5'10""",69kg / 152lb,CM
Benjamin Pavard,84,75,67,75,75,86,81,France,Serie A Enilive,Lombardia FC,28,"186cm / 6'1""",81kg / 179lb,CB
Álex Remiro,84,84,79,80,86,42,86,Spain,LALIGA EA SPORTS,Real Sociedad,29,"192cm / 6'4""",79kg / 174lb,GK
Cristian Romero,84,68,46,59,66,85,81,Argentina,Premier League,Spurs,26,"185cm / 6'1""",79kg / 174lb,CB
Marcel Sabitzer,84,76,84,81,82,75,79,Austria,Bundesliga,Borussia Dortmund,30,"178cm / 5'10""",76kg / 168lb,CM
Casemiro,84,38,74,77,69,82,82,Brazil,Premier League,Man Utd,32,"185cm / 6'1""",84kg / 185lb,CDM
Guglielmo Vicario,84,84,80,79,87,52,84,Italy,Premier League,Spurs,27,"194cm / 6'4""",76kg / 168lb,GK
Dušan Vlahović,84,78,84,69,79,29,83,Serbia,Serie A Enilive,Juventus,24,"190cm / 6'3""",75kg / 165lb,ST
Kyle Walker,84,89,64,77,78,79,81,England,Premier League,Manchester City,34,"183cm / 6'0""",83kg / 183lb,RB
Ben White,84,73,35,77,78,83,80,England,Premier League,Arsenal,26,"185cm / 6'1""",77kg / 170lb,RB
Marcos Acuña,83,74,74,82,82,80,84,Argentina,Libertadores,River Plate,32,"172cm / 5'8""",69kg / 152lb,LB
Robert Andrich,83,54,77,76,73,83,83,Germany,Bundesliga,Leverkusen,29,"186cm / 6'1""",85kg / 187lb,CDM
Ismaël Bennacer,83,77,73,82,85,78,75,Algeria,Serie A Enilive,Milano FC,26,"175cm / 5'9""",70kg / 154lb,CDM
Domenico Berardi,83,79,81,78,85,36,70,Italy,Serie BKT,Sassuolo,30,"183cm / 6'0""",72kg / 159lb,RW
Eduardo Camavinga,83,80,67,81,84,78,80,France,LALIGA EA SPORTS,Real Madrid,21,"182cm / 6'0""",68kg / 150lb,CM
Yannick Carrasco,83,88,81,80,85,59,67,Belgium,ROSHN Saudi League,Al Shabab,31,"181cm / 5'11""",73kg / 161lb,LW
Andreas Christensen,83,67,32,68,71,85,76,Denmark,LALIGA EA SPORTS,FC Barcelona,28,"187cm / 6'2""",82kg / 181lb,CB
Stefan de Vrij,83,62,41,65,69,85,75,Holland,Serie A Enilive,Lombardia FC,32,"189cm / 6'2""",78kg / 172lb,CB
Ángel Di María,83,76,80,85,88,48,66,Argentina,Liga Portugal,SL Benfica,36,"180cm / 5'11""",69kg / 152lb,RM
Moussa Diaby,83,95,75,74,86,43,53,France,ROSHN Saudi League,Al Ittihad,25,"170cm / 5'7""",67kg / 148lb,RM
Youssef En-Nesyri,83,82,82,63,77,36,80,Morocco,Trendyol Süper Lig,Fenerbahçe,27,"188cm / 6'2""",78kg / 172lb,ST
Rafa,83,93,77,77,86,50,54,Portugal,Trendyol Süper Lig,Beşiktaş,31,"172cm / 5'8""",66kg / 146lb,CAM
Cody Gakpo,83,82,83,78,83,48,75,Holland,Premier League,Liverpool,25,"189cm / 6'2""",76kg / 168lb,ST
José María Giménez,83,71,46,58,61,85,82,Uruguay,LALIGA EA SPORTS,Atlético de Madrid,29,"185cm / 6'1""",79kg / 174lb,CB
Olivier Giroud,83,45,84,74,75,42,81,France,MLS,LAFC,37,"193cm / 6'4""",91kg / 201lb,ST
Leon Goretzka,83,70,80,80,81,80,85,Germany,Bundesliga,FC Bayern München,29,"189cm / 6'2""",82kg / 181lb,CM
Joško Gvardiol,83,79,69,74,78,83,83,Croatia,Premier League,Manchester City,22,"185cm / 6'1""",80kg / 176lb,LB
Kai Havertz,83,77,81,80,82,49,72,Germany,Premier League,Arsenal,25,"193cm / 6'4""",82kg / 181lb,ST
Lucas Hernández,83,74,54,72,71,84,78,France,Ligue 1 McDonald's,Paris SG,28,"184cm / 6'0""",79kg / 174lb,CB
Mauro Icardi,83,68,83,71,76,40,75,Argentina,Trendyol Süper Lig,Galatasaray,31,"181cm / 5'11""",79kg / 174lb,ST
Kim Min Jae,83,76,33,57,63,85,83,Korea Republic,Bundesliga,FC Bayern München,27,"190cm / 6'3""",81kg / 179lb,CB
Ibrahima Konaté,83,75,34,59,68,83,84,France,Premier League,Liverpool,25,"194cm / 6'4""",95kg / 209lb,CB
Teun Koopmeiners,83,66,78,83,78,75,78,Holland,Serie A Enilive,Juventus,26,"183cm / 6'0""",77kg / 170lb,CM
Mateo Kovačić,83,69,67,82,87,71,70,Croatia,Premier League,Manchester City,30,"177cm / 5'10""",80kg / 176lb,CM
Konrad Laimer,83,80,69,77,77,82,78,Austria,Bundesliga,FC Bayern München,27,"180cm / 5'11""",72kg / 159lb,CDM
Aymeric Laporte,83,55,50,74,70,85,76,Spain,ROSHN Saudi League,Al Nassr,30,"189cm / 6'2""",85kg / 187lb,CB
Robin Le Normand,83,62,26,54,60,84,79,Spain,LALIGA EA SPORTS,Atlético de Madrid,27,"187cm / 6'2""",81kg / 179lb,CB
Marcos Llorente,83,89,79,78,80,79,81,Spain,LALIGA EA SPORTS,Atlético de Madrid,29,"184cm / 6'0""",74kg / 163lb,RM
Manuel Locatelli,83,64,70,80,78,79,80,Italy,Serie A Enilive,Juventus,26,"185cm / 6'1""",75kg / 165lb,CDM
Donyell Malen,83,89,81,74,85,35,72,Holland,Bundesliga,Borussia Dortmund,25,"176cm / 5'9""",68kg / 150lb,RM
Gabriel Magalhães Martinelli,83,89,78,75,85,46,72,Brazil,Premier League,Arsenal,23,"178cm / 5'10""",75kg / 165lb,LW
Henrikh Mkhitaryan,83,78,79,82,84,72,77,Armenia,Serie A Enilive,Lombardia FC,35,"177cm / 5'10""",75kg / 165lb,CM
Morata,83,82,81,73,80,31,79,Spain,Serie A Enilive,Milano FC,31,"190cm / 6'3""",84kg / 185lb,ST
Gerard Moreno,83,77,85,77,81,46,72,Spain,LALIGA EA SPORTS,Villarreal CF,32,"180cm / 5'11""",77kg / 170lb,ST
André Onana,83,83,75,87,86,61,79,Cameroon,Premier League,Man Utd,28,"190cm / 6'3""",93kg / 205lb,GK
Willi Orban,83,58,36,56,56,85,78,Hungary,Bundesliga,RB Leipzig,31,"186cm / 6'1""",87kg / 192lb,CB
Gavi,83,76,66,78,85,68,70,Spain,LALIGA EA SPORTS,FC Barcelona,20,"173cm / 5'8""",70kg / 154lb,CM
Parejo,83,52,80,88,78,74,69,Spain,LALIGA EA SPORTS,Villarreal CF,35,"182cm / 6'0""",74kg / 163lb,CM
Lorenzo Pellegrini,83,79,78,83,83,74,78,Italy,Serie A Enilive,AS Roma,28,"186cm / 6'1""",77kg / 170lb,CAM
Pedro Gonçalves,83,78,82,84,84,63,68,Portugal,Liga Portugal,Sporting CP,26,"173cm / 5'8""",77kg / 170lb,LW
Jordan Pickford,83,83,78,88,87,53,80,England,Premier League,Everton,30,"185cm / 6'1""",77kg / 170lb,GK
Nick Pope,83,82,82,75,85,49,82,England,Premier League,Newcastle Utd,32,"199cm / 6'6""",76kg / 168lb,GK
Pedro Porro,83,82,73,80,81,78,77,Spain,Premier League,Spurs,25,"173cm / 5'8""",69kg / 152lb,RB
Ivan Provedel,83,84,79,80,85,42,84,Italy,Serie A Enilive,Latium,30,"192cm / 6'4""",84kg / 185lb,GK
Christian Pulisic,83,88,82,78,86,37,63,United States,Serie A Enilive,Milano FC,25,"177cm / 5'10""",69kg / 152lb,RW
David Raya,83,82,81,86,82,57,81,Spain,Premier League,Arsenal,28,"183cm / 6'0""",75kg / 165lb,GK
Koke,83,69,72,84,79,77,78,Spain,LALIGA EA SPORTS,Atlético de Madrid,32,"176cm / 5'9""",75kg / 165lb,CDM
Guido Rodríguez,83,51,58,72,70,85,80,Argentina,Premier League,West Ham,29,"185cm / 6'1""",80kg / 176lb,CDM
Alessio Romagnoli,83,64,40,56,69,85,79,Italy,Serie A Enilive,Latium,29,"185cm / 6'1""",75kg / 165lb,CB
Xavi Simons,83,81,77,80,86,61,71,Holland,Bundesliga,RB Leipzig,21,"179cm / 5'10""",61kg / 134lb,CAM
Douglas Luiz,83,66,78,85,80,75,76,Brazil,Serie A Enilive,Juventus,26,"175cm / 5'9""",66kg / 146lb,CM
Dušan Tadić,83,64,79,85,81,43,78,Serbia,Trendyol Süper Lig,Fenerbahçe,35,"181cm / 5'11""",76kg / 168lb,LM
Edmond Tapsoba,83,75,54,68,70,85,79,Burkina Faso,Bundesliga,Leverkusen,25,"192cm / 6'4""",84kg / 185lb,CB
Nuno Mendes,83,89,58,76,82,78,76,Portugal,Ligue 1 McDonald's,Paris SG,22,"180cm / 5'11""",70kg / 154lb,LB
Marcus Thuram,83,87,81,77,82,50,84,France,Serie A Enilive,Lombardia FC,27,"192cm / 6'4""",80kg / 176lb,ST
Fikayo Tomori,83,84,40,60,68,85,80,England,Serie A Enilive,Milano FC,26,"185cm / 6'1""",79kg / 174lb,CB
Lucas Torreira,83,76,69,78,81,81,81,Uruguay,Trendyol Süper Lig,Galatasaray,28,"166cm / 5'5""",60kg / 132lb,CDM
Kieran Trippier,83,67,65,85,78,81,72,England,Premier League,Newcastle Utd,33,"173cm / 5'8""",71kg / 157lb,RB
Leandro Trossard,83,82,81,80,85,30,61,Belgium,Premier League,Arsenal,29,"171cm / 5'7""",67kg / 148lb,LW
Viktor Tsygankov,83,85,80,81,82,46,62,Ukraine,LALIGA EA SPORTS,Girona FC,26,"178cm / 5'10""",72kg / 159lb,RM
Mattia Zaccagni,83,87,77,75,88,57,66,Italy,Serie A Enilive,Latium,29,"177cm / 5'10""",63kg / 139lb,LW
Duván Zapata,83,73,82,64,78,35,88,Colombia,Serie A Enilive,Torino,33,"188cm / 6'2""",92kg / 203lb,ST
Isco,82,66,74,82,83,59,59,Spain,LALIGA EA SPORTS,Real Betis,32,"176cm / 5'9""",79kg / 174lb,CAM
Joelinton,82,76,72,76,82,81,89,Brazil,Premier League,Newcastle Utd,28,"186cm / 6'1""",81kg / 179lb,CM
Pepê,82,87,74,75,85,62,62,Brazil,Liga Portugal,FC Porto,27,"173cm / 5'8""",72kg / 159lb,CAM
Pierre-Emerick Aubameyang,82,84,83,72,78,35,63,Gabon,ROSHN Saudi League,Al Qadisiyah,35,"187cm / 6'2""",80kg / 176lb,ST
Leon Bailey,82,90,78,77,86,38,62,Jamaica,Premier League,Aston Villa,27,"178cm / 5'10""",77kg / 170lb,RM
Oliver Baumann,82,81,80,78,83,39,79,Germany,Bundesliga,TSG Hoffenheim,34,"187cm / 6'2""",82kg / 181lb,GK
Victor Boniface,82,73,83,66,80,38,82,Nigeria,Bundesliga,Leverkusen,23,"190cm / 6'3""",91kg / 201lb,ST
Sven Botman,82,60,37,63,65,83,83,Holland,Premier League,Newcastle Utd,24,"193cm / 6'4""",81kg / 179lb,CB
Jarrod Bowen,82,77,81,76,81,46,70,England,Premier League,West Ham,27,"175cm / 5'9""",70kg / 154lb,RM
Marcelo Brozović,82,66,74,79,80,80,80,Croatia,ROSHN Saudi League,Al Nassr,31,"181cm / 5'11""",72kg / 159lb,CDM
Moisés Caicedo,82,75,63,75,78,79,78,Ecuador,Premier League,Chelsea,22,"178cm / 5'10""",73kg / 161lb,CDM
